Date : 2024-05-08 00:11:00
Directory : /Users/pavel/Documents/react-landing
Total : 65 files,  30885 codes, 558 comments, 262 blanks, all 31705 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/pavel/Documents/react-landing/client/README.md                                             | Markdown           |         22 |          0 |          9 |         31 |
| /Users/pavel/Documents/react-landing/client/index.html                                            | HTML               |         13 |          0 |          1 |         14 |
| /Users/pavel/Documents/react-landing/client/package-lock.json                                     | JSON               |      2,857 |          0 |          1 |      2,858 |
| /Users/pavel/Documents/react-landing/client/package.json                                          | JSON               |         32 |          0 |          1 |         33 |
| /Users/pavel/Documents/react-landing/client/public/vite.svg                                       | XML                |          1 |          0 |          0 |          1 |
| /Users/pavel/Documents/react-landing/client/src/app/appEntry.tsx                                  | TypeScript JSX     |          9 |          0 |          3 |         12 |
| /Users/pavel/Documents/react-landing/client/src/app/layouts/index.css                             | CSS                |        104 |          0 |         12 |        116 |
| /Users/pavel/Documents/react-landing/client/src/app/providers/Provider.tsx                        | TypeScript JSX     |        109 |          1 |         12 |        122 |
| /Users/pavel/Documents/react-landing/client/src/app/providers/model/GetData.props.ts              | TypeScript         |          3 |          0 |          0 |          3 |
| /Users/pavel/Documents/react-landing/client/src/app/providers/model/Provider.props.ts             | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/pavel/Documents/react-landing/client/src/features/GetData/GetData.ts                       | TypeScript         |         13 |          0 |          2 |         15 |
| /Users/pavel/Documents/react-landing/client/src/features/Login/Login.ts                           | TypeScript         |         31 |          0 |          2 |         33 |
| /Users/pavel/Documents/react-landing/client/src/features/Logout/Logout.ts                         | TypeScript         |          4 |          0 |          1 |          5 |
| /Users/pavel/Documents/react-landing/client/src/features/Registration/Registration.ts             | TypeScript         |         29 |          0 |          2 |         31 |
| /Users/pavel/Documents/react-landing/client/src/pages/Dashboard/Dashboard.tsx                     | TypeScript JSX     |         16 |          1 |          6 |         23 |
| /Users/pavel/Documents/react-landing/client/src/pages/Dashboard/ui/Dashboard.module.css           | CSS                |         18 |          0 |          3 |         21 |
| /Users/pavel/Documents/react-landing/client/src/pages/Error404/Error404.tsx                       | TypeScript JSX     |          9 |          0 |          3 |         12 |
| /Users/pavel/Documents/react-landing/client/src/pages/Login/Login.tsx                             | TypeScript JSX     |         10 |          0 |          2 |         12 |
| /Users/pavel/Documents/react-landing/client/src/pages/Main/Main.tsx                               | TypeScript JSX     |         14 |          0 |          4 |         18 |
| /Users/pavel/Documents/react-landing/client/src/pages/Main/ui/Main.module.css                     | CSS                |         14 |          0 |          5 |         19 |
| /Users/pavel/Documents/react-landing/client/src/pages/Projects/Projects.tsx                       | TypeScript JSX     |         26 |          1 |          4 |         31 |
| /Users/pavel/Documents/react-landing/client/src/pages/Projects/ui/Projects.module.css             | CSS                |         40 |          0 |          7 |         47 |
| /Users/pavel/Documents/react-landing/client/src/pages/Register/Register.tsx                       | TypeScript JSX     |         10 |          0 |          2 |         12 |
| /Users/pavel/Documents/react-landing/client/src/pages/Tutorial/Tutorial.tsx                       | TypeScript JSX     |          9 |          0 |          2 |         11 |
| /Users/pavel/Documents/react-landing/client/src/shared/AuthForm/AuthForm.props.ts                 | TypeScript         |          0 |          0 |          1 |          1 |
| /Users/pavel/Documents/react-landing/client/src/shared/AuthForm/AuthForm.tsx                      | TypeScript JSX     |          8 |          0 |          3 |         11 |
| /Users/pavel/Documents/react-landing/client/src/shared/AuthForm/ui/AuthForm.module.css            | CSS                |         19 |          0 |          3 |         22 |
| /Users/pavel/Documents/react-landing/client/src/shared/Button/Button.module.css                   | CSS                |         37 |          0 |          7 |         44 |
| /Users/pavel/Documents/react-landing/client/src/shared/Button/Button.props.ts                     | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/pavel/Documents/react-landing/client/src/shared/Button/Button.tsx                          | TypeScript JSX     |         15 |          0 |          5 |         20 |
| /Users/pavel/Documents/react-landing/client/src/shared/Input/Input.module.css                     | CSS                |         31 |          0 |          6 |         37 |
| /Users/pavel/Documents/react-landing/client/src/shared/Input/Input.props.ts                       | TypeScript         |          8 |          0 |          0 |          8 |
| /Users/pavel/Documents/react-landing/client/src/shared/Input/Input.tsx                            | TypeScript JSX     |         47 |          0 |          9 |         56 |
| /Users/pavel/Documents/react-landing/client/src/shared/WidgetContainer/WidgetContainer.module.css | CSS                |         11 |          0 |          0 |         11 |
| /Users/pavel/Documents/react-landing/client/src/shared/WidgetContainer/WidgetContainer.tsx        | TypeScript JSX     |          6 |          0 |          3 |          9 |
| /Users/pavel/Documents/react-landing/client/src/shared/api/ApiCall.tsx                            | TypeScript JSX     |         50 |         68 |         29 |        147 |
| /Users/pavel/Documents/react-landing/client/src/shared/api/model/ApiRequest.props.ts              | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/pavel/Documents/react-landing/client/src/shared/api/model/ApiResult.props.ts               | TypeScript         |          6 |          0 |          0 |          6 |
| /Users/pavel/Documents/react-landing/client/src/vite-env.d.ts                                     | TypeScript         |          0 |          1 |          1 |          2 |
| /Users/pavel/Documents/react-landing/client/src/widgets/Header/Header.tsx                         | TypeScript JSX     |          5 |          2 |          2 |          9 |
| /Users/pavel/Documents/react-landing/client/src/widgets/Header/ui/Header.module.css               | CSS                |         41 |          0 |          6 |         47 |
| /Users/pavel/Documents/react-landing/client/src/widgets/LoginForm/LoginForm.tsx                   | TypeScript JSX     |         61 |          0 |          9 |         70 |
| /Users/pavel/Documents/react-landing/client/src/widgets/RegisterForm/RegisterForm.tsx             | TypeScript JSX     |         82 |          0 |         11 |         93 |
| /Users/pavel/Documents/react-landing/client/src/widgets/Sidebar/Sidebar.tsx                       | TypeScript JSX     |        108 |          0 |          6 |        114 |
| /Users/pavel/Documents/react-landing/client/src/widgets/Sidebar/ui/Sidebar.module.css             | CSS                |         41 |          0 |         10 |         51 |
| /Users/pavel/Documents/react-landing/client/tsconfig.json                                         | JSON with Comments |         31 |          2 |          3 |         36 |
| /Users/pavel/Documents/react-landing/client/tsconfig.node.json                                    | JSON               |         11 |          0 |          1 |         12 |
| /Users/pavel/Documents/react-landing/client/vite.config.ts                                        | TypeScript         |         17 |          1 |          1 |         19 |
| /Users/pavel/Documents/react-landing/server/database/db.js                                        | JavaScript         |         16 |          1 |          3 |         20 |
| /Users/pavel/Documents/react-landing/server/index.js                                              | JavaScript         |         19 |          5 |          7 |         31 |
| /Users/pavel/Documents/react-landing/server/mcu.db                                                | SQL                |          9 |          0 |          0 |          9 |
| /Users/pavel/Documents/react-landing/server/middleware/authorization.js                           | JavaScript         |         16 |          0 |          5 |         21 |
| /Users/pavel/Documents/react-landing/server/middleware/validInfo.js                               | JavaScript         |         13 |          0 |          3 |         16 |
| /Users/pavel/Documents/react-landing/server/package-lock.json                                     | JSON               |      2,584 |          0 |          1 |      2,585 |
| /Users/pavel/Documents/react-landing/server/package.json                                          | JSON               |         22 |          0 |          1 |         23 |
| /Users/pavel/Documents/react-landing/server/routes/dashboard.js                                   | JavaScript         |         45 |          2 |          6 |         53 |
| /Users/pavel/Documents/react-landing/server/routes/jwtAuth.js                                     | JavaScript         |         88 |          9 |         16 |        113 |
| /Users/pavel/Documents/react-landing/server/utils/jwtGenerator.js                                 | JavaScript         |          9 |          0 |          2 |         11 |
| Total                                                                                             |                    |     30,885 |        558 |        262 |     31,705 |
+---------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
